station,timeJ:,t090C:,t190C:,c0uS/cm:,c1uS/cm:,sal00:,sal11:,depSM:,density00:,fluroescence,sbeox0Mm/L:,sbeox0(%sat),v6:,upoly0:,latitude:,longitude:,prDM:,prDE:,flag:
C1,120.703257,11.037,11.0346,3.78E+04,3.78E+04,33.7037,33.6881,34,1025.9141,5.10E-01,208.693,75.045,0,12.639132,36.78188,-121.93923,34.256,49.683,0
C1,120.703286,11.0744,11.0696,3.78E+04,3.78E+04,33.7269,33.71,35,1025.9299,8.05E-01,218.27,78.564,0,12.332772,36.78188,-121.93923,35.263,51.145,0
C1,120.703314,11.0665,11.0675,3.79E+04,3.78E+04,33.7465,33.7228,36,1025.9512,6.94E-01,220.338,79.304,0,12.426296,36.78188,-121.93923,36.271,52.606,0
C1,120.703344,10.8817,10.9013,3.77E+04,3.77E+04,33.7398,33.7245,37,1025.9836,6.21E-01,227.933,81.713,0,12.411305,36.78188,-121.93923,37.278,54.068,0
C1,120.703363,10.779,10.7806,3.76E+04,3.76E+04,33.7314,33.7178,38,1025.9999,6.50E-01,218.701,78.226,0,12.317221,36.78188,-121.93923,38.286,55.529,0
C1,120.703386,10.7576,10.7568,3.76E+04,3.75E+04,33.7281,33.7144,39,1026.0057,1.09E+00,203.024,72.583,0,13.037187,36.78188,-121.93923,39.294,56.991,0
C1,120.703424,10.7471,10.7413,3.75E+04,3.75E+04,33.7263,33.7126,40,1026.0107,7.88E-01,195.668,69.937,0,13.745393,36.78188,-121.93923,40.301,58.452,0
C1,120.703436,10.7255,10.7245,3.75E+04,3.75E+04,33.7252,33.7116,41,1026.0182,9.81E-01,198.844,71.038,0,13.645038,36.78188,-121.93923,41.309,59.913,0
C1,120.703458,10.718,10.7176,3.75E+04,3.75E+04,33.7245,33.7109,42,1026.0235,8.47E-01,196.321,70.126,0,14.51365,36.78188,-121.93923,42.316,61.375,0
C1,120.703483,10.7088,10.708,3.75E+04,3.75E+04,33.7243,33.7105,43,1026.0295,6.74E-01,194.884,69.598,0,14.713352,36.78188,-121.93923,43.324,62.836,0
C1,120.703512,10.7045,10.7066,3.75E+04,3.75E+04,33.7253,33.7114,44,1026.0356,7.71E-01,194.328,69.394,0,15.032327,36.78188,-121.93923,44.331,64.297,0
C1,120.703535,10.731,10.7293,3.75E+04,3.75E+04,33.7395,33.7254,45,1026.0465,6.62E-01,193.948,69.304,0,15.271062,36.78188,-121.93923,45.339,65.759,0
C1,120.703554,10.7228,10.7216,3.75E+04,3.75E+04,33.7366,33.7232,46,1026.0503,7.96E-01,198.185,70.804,0,14.95485,36.78188,-121.93923,46.347,67.221,0
C1,120.703584,10.7244,10.72,3.75E+04,3.75E+04,33.7379,33.7257,47,1026.0556,6.72E-01,202.791,72.453,0,14.738425,36.78188,-121.93923,47.354,68.682,0
C1,120.703606,10.7184,10.7195,3.75E+04,3.75E+04,33.7431,33.728,48,1026.0652,7.78E-01,201.064,71.829,0,14.818707,36.78188,-121.93923,48.362,70.144,0
C1,120.703632,10.7138,10.7124,3.75E+04,3.75E+04,33.7444,33.7303,49,1026.0716,6.77E-01,203.504,72.694,0,14.744882,36.78188,-121.93923,49.37,71.605,0
C1,120.70365,10.6995,10.6988,3.75E+04,3.75E+04,33.7441,33.73,50,1026.0784,8.49E-01,203.326,72.608,0,14.769562,36.78188,-121.93923,50.378,73.067,0
C1,120.70367,10.7002,10.7004,3.75E+04,3.75E+04,33.7441,33.7298,51,1026.0829,8.62E-01,202.691,72.382,0,14.925758,36.78188,-121.93923,51.385,74.528,0
C1,120.703703,10.6999,10.6991,3.75E+04,3.75E+04,33.7439,33.7297,52,1026.0873,8.16E-01,201.989,72.131,0,15.157917,36.78188,-121.93923,52.393,75.99,0
C1,120.703737,10.6867,10.6839,3.75E+04,3.75E+04,33.7438,33.7308,53,1026.0941,6.71E-01,201.954,72.098,0,15.082565,36.78188,-121.93923,53.401,77.451,0
C1,120.703751,10.6344,10.636,3.75E+04,3.75E+04,33.7435,33.7301,54,1026.1076,6.26E-01,201.857,71.982,0,15.088312,36.78188,-121.93923,54.408,78.913,0
C1,120.703765,10.5845,10.5856,3.74E+04,3.74E+04,33.7445,33.7303,55,1026.1217,8.22E-01,200.611,71.462,0,15.305719,36.78188,-121.93923,55.416,80.374,0
C1,120.703803,10.6135,10.6155,3.74E+04,3.74E+04,33.7426,33.7306,56,1026.1198,5.75E-01,190.694,67.971,0,15.649233,36.78188,-121.93923,56.424,81.836,0
C1,120.703814,10.5595,10.5587,3.74E+04,3.74E+04,33.752,33.7383,57,1026.1411,6.97E-01,193.79,68.998,0,15.636922,36.78188,-121.93923,57.432,83.297,0
C1,120.703853,10.5885,10.5834,3.74E+04,3.74E+04,33.7487,33.7345,58,1026.138,6.53E-01,195.355,69.597,0,15.79924,36.78188,-121.93923,58.439,84.759,0
C1,120.703877,10.5518,10.5511,3.74E+04,3.74E+04,33.753,33.739,59,1026.1523,6.58E-01,195.756,69.687,0,15.783897,36.78188,-121.93923,59.447,86.221,0
C1,120.703895,10.5467,10.546,3.74E+04,3.74E+04,33.7527,33.7387,60,1026.1575,6.85E-01,195.047,69.427,0,16.019413,36.78188,-121.93923,60.455,87.682,0
C1,120.70392,10.5494,10.5487,3.74E+04,3.74E+04,33.7548,33.7412,61,1026.1633,5.84E-01,194.565,69.26,0,16.102637,36.78188,-121.93923,61.462,89.144,0
C1,120.703943,10.5539,10.5532,3.74E+04,3.74E+04,33.7613,33.7472,62,1026.1721,7.26E-01,195.125,69.469,0,16.237741,36.78188,-121.93923,62.47,90.605,0
